number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
32,0.29576933468717986,COMPLETE,2025-11-05 03:26:54.364050,2025-11-05 03:27:41.215406,0 days 00:00:46.851356,prelu,32,768,0.30000000000000004,0.0001,256,,minmax,prenorm,16,1,RMSprop,max,learned,1e-06
33,0.27847526975520687,COMPLETE,2025-11-05 03:27:41.217934,2025-11-05 03:28:19.818933,0 days 00:00:38.600999,elu,32,768,0.2,0.0001,256,,minmax,prenorm,16,1,RMSprop,max,learned,1e-06
34,0.178030303030303,PRUNED,2025-11-05 03:28:19.820934,2025-11-05 03:28:55.303281,0 days 00:00:35.482347,prelu,32,768,0.30000000000000004,5e-05,384,0.9,minmax,prenorm,16,2,SGD,cls,learned,1e-06
35,0.21759048895761182,COMPLETE,2025-11-05 03:28:55.304297,2025-11-05 03:29:15.453446,0 days 00:00:20.149149,prelu,96,384,0.0,2e-05,256,,minmax,postnorm,4,1,RMSprop,max,learned,1e-06
36,0.2609339848925712,COMPLETE,2025-11-05 03:29:15.455447,2025-11-05 03:29:59.250455,0 days 00:00:43.795008,mish,32,768,0.4,0.0001,256,,L2,prenorm,2,2,AdamW,cls,learned,1e-05
37,0.17702448210922786,PRUNED,2025-11-05 03:29:59.252488,2025-11-05 03:30:13.000866,0 days 00:00:13.748378,leakyrelu,32,384,0.2,0.001,768,,minmax,postnorm,16,2,RMSprop,max,sinusoidal,0.0
38,0.21761658031088082,PRUNED,2025-11-05 03:30:13.002906,2025-11-05 03:30:31.477107,0 days 00:00:18.474201,prelu,128,256,0.30000000000000004,0.0002,512,0.1,L2,prenorm,4,3,SGD,max,learned,1e-07
39,0.178030303030303,PRUNED,2025-11-05 03:30:31.478131,2025-11-05 03:30:47.664507,0 days 00:00:16.186376,silu,16,256,0.2,2e-05,256,,minmax,postnorm,2,1,RMSprop,cls,sinusoidal,1e-06
40,0.2904957177138393,COMPLETE,2025-11-05 03:30:47.665518,2025-11-05 03:32:12.762391,0 days 00:01:25.096873,relu,32,768,0.0,5e-05,512,,minmax,prenorm,4,4,AdamW,max,learned,1e-05
41,0.30074182318054676,COMPLETE,2025-11-05 03:32:12.763893,2025-11-05 03:33:51.149375,0 days 00:01:38.385482,relu,32,768,0.0,5e-05,512,,minmax,prenorm,4,4,AdamW,max,learned,1e-05
42,0.178030303030303,PRUNED,2025-11-05 03:33:51.151376,2025-11-05 03:34:17.284605,0 days 00:00:26.133229,relu,32,768,0.0,5e-05,512,,minmax,prenorm,4,4,AdamW,max,learned,1e-05
43,0.21761658031088082,PRUNED,2025-11-05 03:34:17.285605,2025-11-05 03:34:48.891240,0 days 00:00:31.605635,relu,32,768,0.0,5e-05,512,,minmax,prenorm,4,4,AdamW,max,learned,1e-05
44,0.27550744317832876,COMPLETE,2025-11-05 03:34:48.892696,2025-11-05 03:35:50.953535,0 days 00:01:02.060839,hardswish,64,384,0.1,1e-05,512,,minmax,prenorm,4,4,AdamW,max,learned,1e-05
45,0.08558558558558559,PRUNED,2025-11-05 03:35:50.955554,2025-11-05 03:36:09.703111,0 days 00:00:18.747557,relu,32,768,0.1,5e-05,128,0.2,minmax,prenorm,8,3,SGD,max,learned,0.0
46,0.3282294017986575,COMPLETE,2025-11-05 03:36:09.704111,2025-11-05 03:36:50.028578,0 days 00:00:40.324467,prelu,96,512,0.0,0.0002,256,,L2,postnorm,2,4,Adam,max,learned,1e-05
47,0.178030303030303,PRUNED,2025-11-05 03:36:50.030580,2025-11-05 03:37:03.225164,0 days 00:00:13.194584,elu,96,512,0.0,0.0002,256,,L2,prenorm,4,4,Adam,max,learned,1e-05
48,0.178030303030303,PRUNED,2025-11-05 03:37:03.226164,2025-11-05 03:37:27.460612,0 days 00:00:24.234448,relu,96,512,0.1,0.0001,256,,L2,postnorm,2,4,Adam,cls,sinusoidal,1e-05
49,0.178030303030303,PRUNED,2025-11-05 03:37:27.462613,2025-11-05 03:37:46.111665,0 days 00:00:18.649052,prelu,96,512,0.4,0.0005,256,,L2,prenorm,16,4,Adam,mean,learned,1e-05
