number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
30,0.4649943314133823,COMPLETE,2025-11-26 10:17:43.769280,2025-11-26 10:18:19.203248,0 days 00:00:35.433968,leakyrelu,96,False,0.0,128.0,0.0002,,L2,True,2,AdamW,max,1e-05,"[256, 192]","[2, 3]","[1, 2, 3]",False
31,0.4459516138170182,COMPLETE,2025-11-26 10:18:19.205248,2025-11-26 10:18:53.141571,0 days 00:00:33.936323,leakyrelu,96,False,0.0,128.0,0.0002,,L2,True,2,AdamW,max,1e-05,"[256, 192]","[2, 3]","[1, 2, 3]",False
32,0.4464460890622373,COMPLETE,2025-11-26 10:18:53.143571,2025-11-26 10:19:30.803916,0 days 00:00:37.660345,leakyrelu,96,False,0.0,128.0,0.0002,,L2,True,2,AdamW,max,1e-05,"[256, 192]","[2, 3]","[1, 2, 3]",False
33,0.48139250744792117,COMPLETE,2025-11-26 10:19:30.805917,2025-11-26 10:20:04.330136,0 days 00:00:33.524219,leakyrelu,96,False,0.0,128.0,0.001,,L2,True,2,AdamW,max,1e-05,"[192, 128]","[2, 3]","[1, 2, 3]",False
34,0.36828814460393405,PRUNED,2025-11-26 10:20:04.332367,2025-11-26 10:20:13.921458,0 days 00:00:09.589091,leakyrelu,96,True,0.0,128.0,0.001,0.7000000000000001,L2,True,1,SGD,max,1e-05,[128],[],[],True
35,0.17777777777777778,PRUNED,2025-11-26 10:20:13.922458,2025-11-26 10:20:36.283145,0 days 00:00:22.360687,leakyrelu,96,False,0.0,128.0,0.001,,L2,True,2,Adam,max,1e-05,"[192, 128]","[2, 3]","[1, 2, 3]",False
36,0.42368564400189135,COMPLETE,2025-11-26 10:20:36.285146,2025-11-26 10:21:31.621767,0 days 00:00:55.336621,relu,96,True,0.0,128.0,0.001,,L2,True,2,AdamW,max,0.0,"[448, 384]","[2, 3]","[1, 2, 3]",False
37,0.1761006289308176,PRUNED,2025-11-26 10:21:31.623894,2025-11-26 10:21:35.799938,0 days 00:00:04.176044,tanh,96,False,0.0,128.0,1e-05,,L2,True,1,Adam,max,1e-05,[128],[],[],True
38,0.4548139301203792,COMPLETE,2025-11-26 10:21:35.800939,2025-11-26 10:23:18.073094,0 days 00:01:42.272155,gelu,32,False,0.0,512.0,2e-05,,L2,True,2,AdamW,max,1e-06,"[384, 256]","[2, 3]","[1, 2, 3]",False
39,0.08239700374531835,PRUNED,2025-11-26 10:23:18.075094,2025-11-26 10:23:28.235347,0 days 00:00:10.160253,silu,96,True,0.0,128.0,0.001,0.4,L2,True,1,SGD,max,0.0,[64],[],[],True
40,0.41291349152447526,COMPLETE,2025-11-26 10:23:28.235347,2025-11-26 10:24:17.671513,0 days 00:00:49.436166,leakyrelu,48,False,0.0,768.0,0.0002,,L2,False,2,AdamW,last,1e-05,"[192, 128]","[2, 3]","[1, 2, 3]",False
41,0.47593694997659675,COMPLETE,2025-11-26 10:24:17.673638,2025-11-26 10:25:37.504829,0 days 00:01:19.831191,gelu,32,False,0.0,512.0,2e-05,,L2,True,2,AdamW,max,1e-06,"[384, 256]","[2, 3]","[1, 2, 3]",False
42,0.4602690334890724,COMPLETE,2025-11-26 10:25:37.507332,2025-11-26 10:27:16.641300,0 days 00:01:39.133968,gelu,32,False,0.0,512.0,2e-05,,L2,True,2,AdamW,max,1e-06,"[256, 192]","[2, 3]","[1, 2, 3]",False
43,0.3975717768821217,PRUNED,2025-11-26 10:27:16.643821,2025-11-26 10:27:50.658380,0 days 00:00:34.014559,gelu,32,False,0.0,512.0,2e-05,,L2,True,2,AdamW,max,1e-06,"[384, 256]","[2, 3]","[1, 2, 3]",False
44,0.21839080459770113,PRUNED,2025-11-26 10:27:50.660381,2025-11-26 10:28:09.555331,0 days 00:00:18.894950,gelu,32,False,0.0,512.0,2e-05,,L2,True,3,Adam,max,1e-06,"[448, 512, 640]",[3],"[1, 2, 3]",False
45,0.4361854017327449,COMPLETE,2025-11-26 10:28:09.555331,2025-11-26 10:29:30.359977,0 days 00:01:20.804646,gelu,32,False,0.0,512.0,2e-05,,L2,True,1,AdamW,max,1e-06,[384],[],[],True
46,0.43624648006266237,COMPLETE,2025-11-26 10:29:30.362276,2025-11-26 10:31:25.838495,0 days 00:01:55.476219,gelu,32,False,0.0,512.0,2e-05,,minmax,True,2,AdamW,last,1e-06,"[256, 192]","[2, 3]","[1, 2, 3]",False
47,0.40543545769900097,COMPLETE,2025-11-26 10:31:25.839553,2025-11-26 10:33:42.066988,0 days 00:02:16.227435,relu,32,True,0.0,512.0,2e-05,,L2,False,2,AdamW,max,1e-06,"[192, 128]","[2, 3]","[1, 2, 3]",False
48,0.21839080459770113,PRUNED,2025-11-26 10:33:42.069009,2025-11-26 10:33:53.353124,0 days 00:00:11.284115,gelu,32,False,0.0,512.0,1e-05,0.6000000000000001,L2,True,3,SGD,mean,1e-06,"[1024, 896, 768]",[3],"[1, 2, 3]",False
49,0.19447798438380426,PRUNED,2025-11-26 10:33:53.353124,2025-11-26 10:34:52.392012,0 days 00:00:59.038888,gelu,48,False,0.0,768.0,2e-05,,minmax,True,2,AdamW,max,1e-06,"[384, 256]","[2, 3]","[1, 2, 3]",False
