id,timestamp,target_embedding,source_params,model,seed,channels,dilations,ln_block_end,dropout,num_blocks,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,norm,input_dim,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
39,20251203_234646,gln_phase2.csv,gaitgl,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[0.0, 0.0, 0.0]",3,2,2,leakyrelu,False,False,attention,64,96,Adam,,1e-05,2e-06,minmax,256,0.09839,2.36243,0.43182,0.40908,"[0.55, 0.38095, 0.2963]",0.52273,0.5202,"[0.59091, 0.54545, 0.42424]",295,0.5426,1.51418,510,COMPLETED,169.923

40,20251204_000617,baseline_CASIAB.csv,gaitgl_GREW_BNNeck,TCN,42,"[192, 192]","[1, 2]","[False, True]","[0.3, 0.3]",2,7,1,mish,False,True,max,,32,AdamW,,0.0001,1e-06,L2,256,0.07161,1.54778,0.52273,0.44531,"[0.55814, 0.22222, 0.55556]",0.54545,0.49376,"[0.58537, 0.30769, 0.58824]",107,0.10398,1.51847,112,COMPLETED,10.383
41,20251204_000617,baseline_OUMVLP.csv,gaitgl_GREW_BNNeck,TCN,42,"[192, 192]","[1, 2]","[False, True]","[0.3, 0.3]",2,7,1,mish,False,True,max,,32,AdamW,,0.0001,1e-06,L2,256,0.07254,1.62723,0.54545,0.45707,"[0.6087, 0.2, 0.5625]",0.56818,0.51576,"[0.58537, 0.33333, 0.62857]",150,0.11542,1.53173,162,COMPLETED,14.77
42,20251204_000617,gaitgl.csv,gaitgl_GREW_BNNeck,TCN,42,"[192, 192]","[1, 2]","[False, True]","[0.3, 0.3]",2,7,1,mish,False,True,max,,32,AdamW,,0.0001,1e-06,L2,128,0.0781,1.23704,0.40909,0.27487,"[0.5283, 0.0, 0.2963]",0.45455,0.32927,"[0.4878, 0.0, 0.5]",16,0.73383,1.04671,69,COMPLETED,6.338
43,20251204_000617,gaitgl_GREW.csv,gaitgl_GREW_BNNeck,TCN,42,"[192, 192]","[1, 2]","[False, True]","[0.3, 0.3]",2,7,1,mish,False,True,max,,32,AdamW,,0.0001,1e-06,L2,256,0.08862,1.2542,0.47727,0.39444,"[0.6, 0.25, 0.33333]",0.5,0.43333,"[0.55, 0.25, 0.5]",21,0.60575,1.0838,58,COMPLETED,5.679
44,20251204_000617,gaitgl_GREW_BNNeck.csv,gaitgl_GREW_BNNeck,TCN,42,"[192, 192]","[1, 2]","[False, True]","[0.3, 0.3]",2,7,1,mish,False,True,max,,32,AdamW,,0.0001,1e-06,L2,256,0.09252,1.56512,0.38636,0.27826,"[0.43478, 0.0, 0.4]",0.5,0.47273,"[0.53333, 0.4, 0.48485]",92,0.12571,1.38012,110,COMPLETED,11.035
45,20251204_000617,gaitgl_OUMVLP.csv,gaitgl_GREW_BNNeck,TCN,42,"[192, 192]","[1, 2]","[False, True]","[0.3, 0.3]",2,7,1,mish,False,True,max,,32,AdamW,,0.0001,1e-06,L2,256,0.0872,1.25116,0.52273,0.39811,"[0.57895, 0.0, 0.61538]",0.56818,0.47661,"[0.63158, 0.16667, 0.63158]",129,0.20693,1.08633,154,COMPLETED,16.097
46,20251204_000617,gaitpart_GREW.csv,gaitgl_GREW_BNNeck,TCN,42,"[192, 192]","[1, 2]","[False, True]","[0.3, 0.3]",2,7,1,mish,False,True,max,,32,AdamW,,0.0001,1e-06,L2,256,0.06623,1.47853,0.52273,0.41103,"[0.66667, 0.18182, 0.38462]",0.59091,0.58631,"[0.65116, 0.625, 0.48276]",129,0.18635,1.23977,157,COMPLETED,13.698
47,20251204_000617,gaitpart_OUMVLP.csv,gaitgl_GREW_BNNeck,TCN,42,"[192, 192]","[1, 2]","[False, True]","[0.3, 0.3]",2,7,1,mish,False,True,max,,32,AdamW,,0.0001,1e-06,L2,256,0.08293,1.50627,0.59091,0.49361,"[0.68182, 0.15385, 0.64516]",0.54545,0.52525,"[0.60606, 0.36364, 0.60606]",293,0.18392,1.63388,331,COMPLETED,29.415
48,20251204_000617,gaitset.csv,gaitgl_GREW_BNNeck,TCN,42,"[192, 192]","[1, 2]","[False, True]","[0.3, 0.3]",2,7,1,mish,False,True,max,,32,AdamW,,0.0001,1e-06,L2,256,0.08649,1.74707,0.40909,0.26519,"[0.55556, 0.0, 0.24]",0.54545,0.38924,"[0.6383, 0.0, 0.52941]",33,0.6371,1.20244,103,COMPLETED,10.462
49,20251204_000617,gaitset_GREW.csv,gaitgl_GREW_BNNeck,TCN,42,"[192, 192]","[1, 2]","[False, True]","[0.3, 0.3]",2,7,1,mish,False,True,max,,32,AdamW,,0.0001,1e-06,L2,256,0.08602,1.47865,0.38636,0.30364,"[0.52381, 0.0, 0.3871]",0.5,0.45504,"[0.52941, 0.28571, 0.55]",94,0.28829,1.37697,131,COMPLETED,13.076
50,20251204_000617,gaitset_OUMVLP.csv,gaitgl_GREW_BNNeck,TCN,42,"[192, 192]","[1, 2]","[False, True]","[0.3, 0.3]",2,7,1,mish,False,True,max,,32,AdamW,,0.0001,1e-06,L2,256,0.0988,1.64568,0.45455,0.40714,"[0.57143, 0.25, 0.4]",0.59091,0.53687,"[0.63158, 0.36364, 0.61538]",400,0.09501,1.62163,414,COMPLETED,41.514
51,20251204_000617,gln_phase1.csv,gaitgl_GREW_BNNeck,TCN,42,"[192, 192]","[1, 2]","[False, True]","[0.3, 0.3]",2,7,1,mish,False,True,max,,32,AdamW,,0.0001,1e-06,L2,256,0.08042,1.15273,0.54545,0.39427,"[0.66667, 0.0, 0.51613]",0.54545,0.48953,"[0.6383, 0.36364, 0.46667]",33,0.6295,0.96796,110,COMPLETED,12.415
52,20251204_000617,gln_phase2.csv,gaitgl_GREW_BNNeck,TCN,42,"[192, 192]","[1, 2]","[False, True]","[0.3, 0.3]",2,7,1,mish,False,True,max,,32,AdamW,,0.0001,1e-06,L2,256,0.0819,1.20604,0.47727,0.34222,"[0.56, 0.0, 0.46667]",0.54545,0.49448,"[0.60465, 0.33333, 0.54545]",107,0.09677,1.1991,110,COMPLETED,12.367

53,20251204_000949,baseline_CASIAB.csv,gaitgl_GREW,TCN,42,[256],[1],[False],[0.3],1,7,2,hardswish,False,False,last,128,16,AdamW,,0.001,1e-06,L2,256,0.06502,4.45004,0.5,0.45845,"[0.57143, 0.33333, 0.47059]",0.52273,0.50796,"[0.59459, 0.44444, 0.48485]",46,0.19231,2.94653,59,COMPLETED,9.372
54,20251204_000949,baseline_OUMVLP.csv,gaitgl_GREW,TCN,42,[256],[1],[False],[0.3],1,7,2,hardswish,False,False,last,128,16,AdamW,,0.001,1e-06,L2,256,0.02342,5.38872,0.40909,0.35262,"[0.37838, 0.16667, 0.51282]",0.56818,0.47475,"[0.63636, 0.18182, 0.60606]",76,0.42194,3.53257,87,COMPLETED,13.78
55,20251204_000949,gaitgl.csv,gaitgl_GREW,TCN,42,[256],[1],[False],[0.3],1,7,2,hardswish,False,False,last,128,16,AdamW,,0.001,1e-06,L2,128,0.06497,4.6782,0.40909,0.39152,"[0.47826, 0.4, 0.2963]",0.43182,0.42593,"[0.47619, 0.44444, 0.35714]",28,0.06114,4.25882,31,COMPLETED,5.14
