id,timestamp,target_embedding,source_params,model,seed,input_dim,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,norm,dropout,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
45,20251224_202422,GREW_concat.csv,Preset_5,TCN,42,768,"[448, 448, 448, 448]","[1, 2, 4, 8]",3,2,gelu,True,True,False,mean,320,40,AdamW,,2e-05,1e-05,L2,"[0.1, 0.1, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12178,2.53853,0.31818,0.27491,"[0.4, 0.16667, 0.25806]",309,0.6208,1.22783,0.61364,0.56931,"[0.68293, 0.4, 0.625]",103,COMPLETED,50.01
46,20251224_202422,GREW_mean.csv,Preset_5,TCN,42,256,"[448, 448, 448, 448]","[1, 2, 4, 8]",3,2,gelu,True,True,False,mean,320,40,AdamW,,2e-05,1e-05,L2,"[0.1, 0.1, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13224,2.25857,0.47727,0.43865,"[0.56522, 0.36364, 0.3871]",280,0.21783,2.19322,0.5,0.46757,"[0.56522, 0.4, 0.4375]",233,COMPLETED,42.19
47,20251224_202422,OUMVLP_concat.csv,Preset_5,TCN,42,1024,"[448, 448, 448, 448]","[1, 2, 4, 8]",3,2,gelu,True,True,False,mean,320,40,AdamW,,2e-05,1e-05,L2,"[0.1, 0.1, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11766,2.00954,0.45455,0.35412,"[0.51064, 0.0, 0.55172]",563,0.34883,1.85303,0.54545,0.50694,"[0.61224, 0.42857, 0.48]",320,COMPLETED,94.11
48,20251224_202422,OUMVLP_mean.csv,Preset_5,TCN,42,256,"[448, 448, 448, 448]","[1, 2, 4, 8]",3,2,gelu,True,True,False,mean,320,40,AdamW,,2e-05,1e-05,L2,"[0.1, 0.1, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13785,2.45874,0.40909,0.4094,"[0.5, 0.26667, 0.46154]",825,0.62396,2.00643,0.56818,0.54286,"[0.42857, 0.5, 0.7]",252,COMPLETED,128.573

49,20251224_202422,GREW_concat.csv,Preset_6,TCN,42,768,"[192, 256, 320, 384, 448]","[1, 2, 3, 4, 5]",3,3,silu,True,True,False,attention,256,56,AdamW,,2e-05,1e-05,L2,"[0.2, 0.2, 0.2, 0.2, 0.2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13241,2.43542,0.36364,0.32328,"[0.38095, 0.2, 0.38889]",336,0.15186,2.24534,0.47727,0.38758,"[0.64, 0.25, 0.27273]",301,COMPLETED,63.411
50,20251224_202422,GREW_mean.csv,Preset_6,TCN,42,256,"[192, 256, 320, 384, 448]","[1, 2, 3, 4, 5]",3,3,silu,True,True,False,attention,256,56,AdamW,,2e-05,1e-05,L2,"[0.2, 0.2, 0.2, 0.2, 0.2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13508,2.70344,0.40909,0.33145,"[0.52, 0.16667, 0.30769]",508,0.23285,2.21587,0.43182,0.40282,"[0.5, 0.36364, 0.34483]",403,COMPLETED,89.767
51,20251224_202422,OUMVLP_concat.csv,Preset_6,TCN,42,1024,"[192, 256, 320, 384, 448]","[1, 2, 3, 4, 5]",3,3,silu,True,True,False,attention,256,56,AdamW,,2e-05,1e-05,L2,"[0.2, 0.2, 0.2, 0.2, 0.2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10446,1.09899,0.15909,0.0915,"[0.0, 0.27451, 0.0]",143,1.10446,1.09899,0.15909,0.0915,"[0.0, 0.27451, 0.0]",143,STOPPED,27.747
52,20251224_202422,OUMVLP_mean.csv,Preset_6,TCN,42,256,"[192, 256, 320, 384, 448]","[1, 2, 3, 4, 5]",3,3,silu,True,True,False,attention,256,56,AdamW,,2e-05,1e-05,L2,"[0.2, 0.2, 0.2, 0.2, 0.2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10467,1.09894,0.15909,0.0915,"[0.0, 0.27451, 0.0]",142,1.10467,1.09894,0.15909,0.0915,"[0.0, 0.27451, 0.0]",142,STOPPED,24.878

