id,timestamp,target_embedding,source_params,model,seed,input_dim,num_blocks,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,norm,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
121,20251206_182700,gaitgl_GREW.csv,Best_configs_v3,TCN,42,256,4,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[None, 0.1, 0.1, None]","[True, False, False, False]",max,256.0,16,RMSprop,0.0,1e-05,5e-07,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14389,1.01286,0.52273,0.37007,"[0.62745, 0.0, 0.48276]",0.61364,0.51431,"[0.68182, 0.25, 0.61111]",54.0,0.2869,0.98875,427.0,STOPPED,116.29
122,20251206_182910,gaitgl_GREW_BNNeck.csv,Best_configs_v3,TCN,42,256,4,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[None, 0.1, 0.1, None]","[True, False, False, False]",max,256.0,16,RMSprop,0.0,1e-05,5e-07,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14367,1.2971,0.5,0.44776,"[0.59091, 0.28571, 0.46667]",0.56818,0.52846,"[0.6383, 0.42857, 0.51852]",464.0,0.14619,1.3585,532.0,STOPPED,128.696
123,20251206_183311,gaitgl_OUMVLP.csv,Best_configs_v3,TCN,42,256,4,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[None, 0.1, 0.1, None]","[True, False, False, False]",max,256.0,16,RMSprop,0.0,1e-05,5e-07,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14367,1.03459,0.54545,0.4606,"[0.61905, 0.22222, 0.54054]",0.61364,0.50486,"[0.69388, 0.2, 0.62069]",910.0,0.14405,1.03059,996.0,STOPPED,239.991
124,20251206_183658,gaitpart_GREW.csv,Best_configs_v3,TCN,42,256,4,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[None, 0.1, 0.1, None]","[True, False, False, False]",max,256.0,16,RMSprop,0.0,1e-05,5e-07,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14459,1.18067,0.5,0.45068,"[0.58537, 0.26667, 0.5]",0.56818,0.53182,"[0.65, 0.4, 0.54545]",881.0,0.14441,1.1696,972.0,STOPPED,226.779
125,20251206_184107,gaitpart_OUMVLP.csv,Best_configs_v3,TCN,42,256,4,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[None, 0.1, 0.1, None]","[True, False, False, False]",max,256.0,16,RMSprop,0.0,1e-05,5e-07,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14722,1.15423,0.54545,0.46102,"[0.63415, 0.14286, 0.60606]",0.59091,0.54774,"[0.68421, 0.35294, 0.60606]",808.0,0.14779,1.25996,1056.0,STOPPED,248.146
126,20251206_184312,gaitset.csv,Best_configs_v3,TCN,42,256,4,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[None, 0.1, 0.1, None]","[True, False, False, False]",max,256.0,16,RMSprop,0.0,1e-05,5e-07,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14504,1.28733,0.45455,0.31179,"[0.61538, 0.0, 0.32]",0.52273,0.47619,"[0.66667, 0.33333, 0.42857]",161.0,0.15082,1.33796,504.0,STOPPED,123.997
127,20251206_184628,gaitset_GREW.csv,Best_configs_v3,TCN,42,256,4,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[None, 0.1, 0.1, None]","[True, False, False, False]",max,256.0,16,RMSprop,0.0,1e-05,5e-07,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14377,1.19356,0.43182,0.33807,"[0.47368, 0.0, 0.54054]",0.5,0.42509,"[0.55, 0.15385, 0.57143]",738.0,0.1455,1.19339,795.0,STOPPED,194.785
128,20251206_185335,gaitset_OUMVLP.csv,Best_configs_v3,TCN,42,256,4,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[None, 0.1, 0.1, None]","[True, False, False, False]",max,256.0,16,RMSprop,0.0,1e-05,5e-07,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14461,1.19814,0.52273,0.46667,"[0.66667, 0.33333, 0.4]",0.63636,0.59263,"[0.69565, 0.46154, 0.62069]",1577.0,0.14444,1.15707,1627.0,STOPPED,425.84
129,20251206_185604,gln_phase1.csv,Best_configs_v3,TCN,42,256,4,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[None, 0.1, 0.1, None]","[True, False, False, False]",max,256.0,16,RMSprop,0.0,1e-05,5e-07,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14441,1.04292,0.5,0.37943,"[0.6383, 0.0, 0.5]",0.59091,0.49405,"[0.71429, 0.14286, 0.625]",401.0,0.1454,1.07523,538.0,STOPPED,147.07
130,20251206_185944,gln_phase2.csv,Best_configs_v3,TCN,42,256,4,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[None, 0.1, 0.1, None]","[True, False, False, False]",max,256.0,16,RMSprop,0.0,1e-05,5e-07,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14396,1.06631,0.5,0.42671,"[0.57143, 0.22222, 0.48649]",0.54545,0.49304,"[0.6, 0.30769, 0.57143]",241.0,0.14817,1.17546,803.0,STOPPED,218.774

144,20251206_172959,baseline_CASIAB.csv,Best_configs_v3,TCN,42,256,1,[64],[1],3,2,leakyrelu,True,False,[None],[True],last,,96,RMSprop,0.0,0.0005,2e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.22122,1.81908,0.38636,0.29275,"[0.47826, 0.0, 0.4]",0.47727,0.43835,"[0.47368, 0.23529, 0.60606]",309.0,0.15075,1.61954,648.0,STOPPED,31.078
