id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
324,gln_phase1.csv,0.49413,0.5037,0.00957,0.424 / 0.500 / 0.558,0.667 / 0.400 / 0.444,0.242 / -0.100 / -0.114
325,gln_phase2.csv,0.45999,0.6152,0.15521,0.585 / 0.200 / 0.595,0.694 / 0.600 / 0.552,0.109 / 0.400 / -0.043
326,baseline_CASIAB.csv,0.54718,0.48033,-0.06685,0.680 / 0.500 / 0.462,0.595 / 0.364 / 0.483,-0.085 / -0.136 / 0.021
327,baseline_OUMVLP.csv,0.53695,0.54574,0.00879,0.622 / 0.364 / 0.625,0.513 / 0.545 / 0.579,-0.109 / 0.182 / -0.046
328,gaitgl.csv,0.49854,0.49392,-0.00462,0.667 / 0.250 / 0.579,0.640 / 0.545 / 0.296,-0.027 / 0.295 / -0.283
329,gaitgl_GREW.csv,0.42646,0.43196,0.0055,0.556 / 0.200 / 0.524,0.444 / 0.364 / 0.488,-0.111 / 0.164 / -0.036
330,gaitgl_GREW_BNNeck.csv,0.44925,0.44099,-0.00826,0.526 / 0.250 / 0.571,0.609 / 0.286 / 0.429,0.082 / 0.036 / -0.143
331,gaitgl_OUMVLP.csv,0.4684,0.49335,0.02495,0.691 / 0.333 / 0.381,0.632 / 0.182 / 0.667,-0.059 / -0.152 / 0.286
332,gaitpart_GREW.csv,0.52846,0.47156,-0.0569,0.638 / 0.429 / 0.519,0.652 / 0.200 / 0.562,0.014 / -0.229 / 0.044
333,gaitpart_OUMVLP.csv,0.62885,0.5524,-0.07645,0.683 / 0.615 / 0.588,0.636 / 0.333 / 0.688,-0.047 / -0.282 / 0.099
334,gaitset.csv,0.44833,0.39337,-0.05496,0.640 / 0.222 / 0.483,0.609 / 0.286 / 0.286,-0.031 / 0.063 / -0.197
335,gaitset_GREW.csv,0.52817,0.48677,-0.0414,0.651 / 0.400 / 0.533,0.667 / 0.222 / 0.571,0.016 / -0.178 / 0.038
336,gaitset_OUMVLP.csv,0.21538,0.57152,0.35614,0.646 / 0.000 / 0.000,0.694 / 0.400 / 0.621,0.048 / 0.400 / 0.621
337,gln_phase1.csv,0.54055,0.49206,-0.04849,0.776 / 0.308 / 0.538,0.571 / 0.333 / 0.571,-0.204 / 0.026 / 0.033
338,gln_phase2.csv,0.53618,0.45534,-0.08084,0.564 / 0.444 / 0.600,0.556 / 0.222 / 0.588,-0.009 / -0.222 / -0.012
365,baseline_CASIAB.csv,0.62014,0.44463,-0.17551,0.683 / 0.571 / 0.606,0.526 / 0.222 / 0.585,-0.157 / -0.349 / -0.021
366,baseline_OUMVLP.csv,0.62303,0.53187,-0.09116,0.571 / 0.600 / 0.698,0.651 / 0.222 / 0.722,0.080 / -0.378 / 0.025
367,gaitgl.csv,0.45034,0.42935,-0.02099,0.556 / 0.250 / 0.545,0.553 / 0.250 / 0.485,-0.002 / 0.000 / -0.061
368,gaitgl_GREW.csv,0.43333,0.53219,0.09886,0.600 / 0.200 / 0.500,0.756 / 0.308 / 0.533,0.156 / 0.108 / 0.033
369,gaitgl_GREW_BNNeck.csv,0.52206,0.44742,-0.07464,0.500 / 0.462 / 0.605,0.619 / 0.286 / 0.438,0.119 / -0.176 / -0.167
370,gaitgl_OUMVLP.csv,0.47267,0.47061,-0.00206,0.708 / 0.000 / 0.710,0.596 / 0.333 / 0.483,-0.113 / 0.333 / -0.227
371,gaitpart_GREW.csv,0.54718,0.50741,-0.03977,0.680 / 0.500 / 0.462,0.622 / 0.400 / 0.500,-0.058 / -0.100 / 0.038
372,gaitpart_OUMVLP.csv,0.67417,0.62222,-0.05195,0.629 / 0.727 / 0.667,0.629 / 0.571 / 0.667,0.000 / -0.156 / 0.000
373,gaitset.csv,0.44735,0.44778,0.00043,0.578 / 0.250 / 0.514,0.385 / 0.444 / 0.514,-0.193 / 0.194 / 0.000
374,gaitset_GREW.csv,0.48269,0.46181,-0.02088,0.640 / 0.364 / 0.444,0.638 / 0.333 / 0.414,-0.002 / -0.030 / -0.031
375,gaitset_OUMVLP.csv,0.49059,0.58637,0.09578,0.745 / 0.167 / 0.560,0.714 / 0.526 / 0.519,-0.031 / 0.360 / -0.041
376,gln_phase1.csv,0.54949,0.5133,-0.03619,0.615 / 0.471 / 0.562,0.579 / 0.316 / 0.645,-0.036 / -0.155 / 0.083
377,gln_phase2.csv,0.46053,0.51738,0.05685,0.550 / 0.200 / 0.632,0.711 / 0.308 / 0.533,0.161 / 0.108 / -0.098
391,baseline_CASIAB.csv,0.38746,0.54841,0.16095,0.410 / 0.308 / 0.444,0.638 / 0.444 / 0.562,0.228 / 0.137 / 0.118
392,baseline_OUMVLP.csv,0.49568,0.55556,0.05988,0.704 / 0.200 / 0.583,0.667 / 0.400 / 0.600,-0.037 / 0.200 / 0.017
393,gaitgl.csv,0.3622,0.45879,0.09659,0.550 / 0.000 / 0.537,0.609 / 0.222 / 0.545,0.059 / 0.222 / 0.009
394,gaitgl_GREW.csv,0.4914,0.57757,0.08617,0.579 / 0.267 / 0.629,0.683 / 0.462 / 0.588,0.104 / 0.195 / -0.040
395,gaitgl_GREW_BNNeck.csv,0.21538,0.49309,0.27771,0.646 / 0.000 / 0.000,0.609 / 0.471 / 0.400,-0.037 / 0.471 / 0.400
396,gaitgl_OUMVLP.csv,0.45462,0.47328,0.01866,0.545 / 0.267 / 0.552,0.545 / 0.222 / 0.652,0.000 / -0.044 / 0.100
397,gaitpart_GREW.csv,0.52028,0.52173,0.00145,0.615 / 0.545 / 0.400,0.622 / 0.526 / 0.417,0.007 / -0.019 / 0.017
398,gaitpart_OUMVLP.csv,0.21538,0.51917,0.30379,0.646 / 0.000 / 0.000,0.619 / 0.400 / 0.538,-0.027 / 0.400 / 0.538
399,gaitset.csv,0.51111,0.41282,-0.09829,0.629 / 0.333 / 0.571,0.577 / 0.200 / 0.462,-0.052 / -0.133 / -0.110
400,gaitset_GREW.csv,0.41583,0.51297,0.09714,0.524 / 0.250 / 0.474,0.634 / 0.333 / 0.571,0.110 / 0.083 / 0.098
401,gaitset_OUMVLP.csv,0.21538,0.54621,0.33083,0.646 / 0.000 / 0.000,0.718 / 0.300 / 0.621,0.072 / 0.300 / 0.621
402,gln_phase1.csv,0.55926,0.50894,-0.05032,0.667 / 0.400 / 0.611,0.629 / 0.267 / 0.632,-0.038 / -0.133 / 0.020
403,gln_phase2.csv,0.65641,0.54949,-0.10692,0.667 / 0.769 / 0.533,0.619 / 0.500 / 0.529,-0.048 / -0.269 / -0.004
430,baseline_CASIAB.csv,0.42328,0.4152,-0.00808,0.714 / 0.000 / 0.556,0.579 / 0.000 / 0.667,-0.135 / 0.000 / 0.111
431,baseline_OUMVLP.csv,0.41775,0.54276,0.12501,0.682 / 0.000 / 0.571,0.622 / 0.400 / 0.606,-0.060 / 0.400 / 0.035
432,gaitgl.csv,0.49513,0.47456,-0.02057,0.651 / 0.364 / 0.471,0.550 / 0.400 / 0.474,-0.101 / 0.036 / 0.003
433,gaitgl_GREW.csv,0.46212,0.47275,0.01063,0.636 / 0.250 / 0.500,0.560 / 0.444 / 0.414,-0.076 / 0.194 / -0.086
