id,timestamp,target_embedding,source_params,model,seed,input_dim,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,label_smoothing,clip_grad_norm,class_weights,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec
60,20251012_183155,gaitpart_OUMVLP.csv,Best_configs,TCN,42,256,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14503,0.54545,1031,0.49084,0.56429,319,0.191,STOPPED,81.446
61,20251012_183155,gaitset.csv,Best_configs,TCN,42,256,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14611,0.36364,701,0.27377,0.34121,408,0.14582,STOPPED,65.401
62,20251012_183155,gaitset_GREW.csv,Best_configs,TCN,42,256,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14519,0.5,700,0.42063,0.52991,139,0.16011,STOPPED,65.724
63,20251012_183155,gaitset_OUMVLP.csv,Best_configs,TCN,42,256,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14507,0.43182,1175,0.32634,0.50681,986,0.14861,STOPPED,120.935
64,20251012_183155,gln_phase1.csv,Best_configs,TCN,42,256,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14591,0.52273,533,0.4623,0.58655,196,0.14927,STOPPED,65.07
65,20251012_183155,gln_phase2.csv,Best_configs,TCN,42,256,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14529,0.52273,843,0.43892,0.63187,247,0.14928,STOPPED,102.982

66,20251012_183155,baseline_CASIAB.csv,Best_configs,TCN,42,256,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14117,0.38636,870,0.37174,0.44421,415,0.15547,STOPPED,165.835
67,20251012_183155,baseline_OUMVLP.csv,Best_configs,TCN,42,256,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.16965,0.34091,1074,0.31238,0.42169,139,0.30064,STOPPED,199.01
68,20251012_183155,gaitgl.csv,Best_configs,TCN,42,128,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14528,0.34091,733,0.25605,0.38923,43,0.27978,STOPPED,161.97
