id,timestamp,target_embedding,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
14,20251130_183434,baseline_CASIAB.csv,baseline_OUMVLP.csv,Transformer,42,[384],8,1,512,0.0,relu,postnorm,learned,max,False,0.0005,0.0,16,AdamW,0.0,L2,256,0.03126,3.37004,0.47727,0.35421,"[0.57778, 0.0, 0.48485]",0.5,0.4596,"[0.59091, 0.36364, 0.42424]",162,0.16105,2.51536,168,COMPLETED,34.468
15,20251130_183434,baseline_OUMVLP.csv,baseline_OUMVLP.csv,Transformer,42,[384],8,1,512,0.0,relu,postnorm,learned,max,False,0.0005,0.0,16,AdamW,0.0,L2,256,0.04698,2.09422,0.56818,0.43499,"[0.6383, 0.0, 0.66667]",0.59091,0.48677,"[0.66667, 0.22222, 0.57143]",127,0.6223,1.13996,247,COMPLETED,52.324
16,20251130_183434,gaitgl.csv,baseline_OUMVLP.csv,Transformer,42,[384],8,1,512,0.0,relu,postnorm,learned,max,False,0.0005,0.0,16,AdamW,0.0,L2,128,0.00927,2.17806,0.43182,0.3882,"[0.52174, 0.28571, 0.35714]",0.5,0.46483,"[0.59091, 0.375, 0.42857]",78,0.0191,1.98323,80,COMPLETED,17.489
17,20251130_183434,gaitgl_GREW.csv,baseline_OUMVLP.csv,Transformer,42,[384],8,1,512,0.0,relu,postnorm,learned,max,False,0.0005,0.0,16,AdamW,0.0,L2,256,0.02119,1.72398,0.54545,0.39466,"[0.59574, 0.0, 0.58824]",0.54545,0.53896,"[0.57143, 0.5, 0.54545]",65,0.20597,1.29059,73,COMPLETED,14.719
18,20251130_183434,gaitgl_GREW_BNNeck.csv,baseline_OUMVLP.csv,Transformer,42,[384],8,1,512,0.0,relu,postnorm,learned,max,False,0.0005,0.0,16,AdamW,0.0,L2,256,0.0096,3.11153,0.40909,0.33264,"[0.56522, 0.125, 0.30769]",0.52273,0.47411,"[0.62745, 0.46154, 0.33333]",126,0.42609,1.65962,154,COMPLETED,31.057
19,20251130_183434,gaitgl_OUMVLP.csv,baseline_OUMVLP.csv,Transformer,42,[384],8,1,512,0.0,relu,postnorm,learned,max,False,0.0005,0.0,16,AdamW,0.0,L2,256,0.05701,5.11767,0.40909,0.34127,"[0.53333, 0.13333, 0.35714]",0.52273,0.41612,"[0.64151, 0.22222, 0.38462]",305,0.4958,1.95791,457,COMPLETED,91.967
20,20251130_183434,gaitpart_GREW.csv,baseline_OUMVLP.csv,Transformer,42,[384],8,1,512,0.0,relu,postnorm,learned,max,False,0.0005,0.0,16,AdamW,0.0,L2,256,0.05404,2.89987,0.52273,0.42997,"[0.6383, 0.2, 0.45161]",0.5,0.44132,"[0.65116, 0.28571, 0.3871]",246,0.2275,2.21463,258,COMPLETED,47.216
21,20251130_183434,gaitpart_OUMVLP.csv,baseline_OUMVLP.csv,Transformer,42,[384],8,1,512,0.0,relu,postnorm,learned,max,False,0.0005,0.0,16,AdamW,0.0,L2,256,1.00717,1.01413,0.47727,0.21538,"[0.64615, 0.0, 0.0]",0.47727,0.21538,"[0.64615, 0.0, 0.0]",305,1.00717,1.01413,305,STOPPED,56.032
22,20251130_183434,gaitset.csv,baseline_OUMVLP.csv,Transformer,42,[384],8,1,512,0.0,relu,postnorm,learned,max,False,0.0005,0.0,16,AdamW,0.0,L2,256,0.013,2.72788,0.43182,0.34604,"[0.56, 0.18182, 0.2963]",0.40909,0.40412,"[0.48485, 0.37037, 0.35714]",125,0.58252,1.31283,173,COMPLETED,34.903
23,20251130_183434,gaitset_GREW.csv,baseline_OUMVLP.csv,Transformer,42,[384],8,1,512,0.0,relu,postnorm,learned,max,False,0.0005,0.0,16,AdamW,0.0,L2,256,0.04465,2.38093,0.52273,0.43545,"[0.63636, 0.15385, 0.51613]",0.52273,0.44956,"[0.55814, 0.25, 0.54054]",160,0.31201,1.71104,178,COMPLETED,35.752
