number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
38,0.4279670094200407,COMPLETE,2025-10-09 00:55:26.396631,2025-10-09 01:01:20.630196,0 days 00:05:54.233565,elu,16,3.0,,increasing,2,3.0,linear,,1.0,0.0,False,False,False,False,False,True,,7,False,True,False,False,True,True,0.0002,0.9,L2,6,SGD,last,True,2e-06,False,"[192, 256, 384, 512, 640, 768]","[3, 4, 5, 6, 7, 8]","[False, False, False, False, False, True]",0.0,"[False, True, False, False, True, True]"
39,0.21759048895761182,COMPLETE,2025-10-09 01:01:20.632264,2025-10-09 01:02:48.199196,0 days 00:01:27.566932,relu,32,5.0,,increasing,2,3.0,linear,,1.0,0.2,False,False,True,False,,,256.0,2,False,False,False,False,,,1e-05,,L2,4,AdamW,last,True,1e-05,False,"[384, 512, 640, 768]","[3, 4, 5, 6]","[False, False, True, False]",0.2,"[False, False, False, False]"
40,0.21640488656195464,PRUNED,2025-10-09 01:02:48.201259,2025-10-09 01:04:33.734097,0 days 00:01:45.532838,leakyrelu,32,6.0,,increasing,3,,pow2,2.0,,0.3,False,True,,,,,,7,False,True,,,,,0.002,,L2,2,AdamW,attention,False,1e-07,False,"[512, 640]","[2, 4]","[False, True]",0.3,"[False, True]"
41,0.178030303030303,PRUNED,2025-10-09 01:04:33.735139,2025-10-09 01:06:36.596944,0 days 00:02:02.861805,elu,16,2.0,,increasing,2,3.0,linear,,1.0,0.0,False,False,False,False,False,True,,7,False,True,False,False,True,True,0.0002,0.9,L2,6,SGD,last,True,2e-06,False,"[128, 192, 256, 384, 512, 640]","[3, 4, 5, 6, 7, 8]","[False, False, False, False, False, True]",0.0,"[False, True, False, False, True, True]"
42,0.178030303030303,PRUNED,2025-10-09 01:06:36.598056,2025-10-09 01:10:05.213861,0 days 00:03:28.615805,elu,16,4.0,,increasing,2,3.0,linear,,1.0,0.0,False,False,False,False,False,,,7,False,True,False,False,True,,0.0002,0.9,L2,5,SGD,last,True,2e-06,False,"[256, 384, 512, 640, 768]","[3, 4, 5, 6, 7]","[False, False, False, False, False]",0.0,"[False, True, False, False, True]"
43,0.178030303030303,PRUNED,2025-10-09 01:10:05.215653,2025-10-09 01:10:38.262048,0 days 00:00:33.046395,elu,16,3.0,,increasing,2,3.0,linear,,1.0,0.0,False,False,False,False,,,,7,False,True,False,False,,,0.0002,0.5,L2,4,SGD,last,True,2e-07,False,"[192, 256, 384, 512]","[3, 4, 5, 6]","[False, False, False, False]",0.0,"[False, True, False, False]"
44,0.178030303030303,PRUNED,2025-10-09 01:10:38.263125,2025-10-09 01:13:04.228517,0 days 00:02:25.965392,prelu,16,4.0,,increasing,2,3.0,linear,,1.0,0.1,False,False,False,False,False,,,5,False,True,False,False,True,,0.0002,0.7000000000000001,L2,5,SGD,last,True,2e-06,False,"[256, 384, 512, 640, 768]","[3, 4, 5, 6, 7]","[False, False, False, False, False]",0.1,"[False, True, False, False, True]"
45,0.2439547232301369,COMPLETE,2025-10-09 01:13:04.229517,2025-10-09 01:16:38.053239,0 days 00:03:33.823722,elu,128,8.0,,decreasing,2,3.0,linear,,1.0,0.2,False,False,False,True,False,True,128.0,7,False,True,False,True,True,True,0.0002,0.30000000000000004,L2,6,SGD,mean,True,0.0,False,"[768, 640, 512, 384, 256, 192]","[3, 4, 5, 6, 7, 8]","[False, False, False, True, False, True]",0.2,"[False, True, False, True, True, True]"
46,0.27778744763840996,COMPLETE,2025-10-09 01:16:38.055752,2025-10-09 01:17:57.937955,0 days 00:01:19.882203,hardswish,16,2.0,,increasing,2,3.0,linear,,1.0,0.1,False,False,False,False,,,64.0,9,False,True,False,False,,,0.0005,,L2,4,Adam,last,True,2e-06,False,"[128, 192, 256, 384]","[3, 4, 5, 6]","[False, False, False, False]",0.1,"[False, True, False, False]"
47,0.2590287590935259,COMPLETE,2025-10-09 01:17:57.939968,2025-10-09 01:18:52.833823,0 days 00:00:54.893855,mish,96,3.0,,increasing,2,2.0,linear,,1.0,0.2,False,False,False,,,,,7,False,True,False,,,,0.002,0.7000000000000001,L2,3,SGD,last,True,2e-06,False,"[192, 256, 384]","[2, 3, 4]","[False, False, False]",0.2,"[False, True, False]"
48,0.178030303030303,PRUNED,2025-10-09 01:18:52.835890,2025-10-09 01:19:34.779072,0 days 00:00:41.943182,mish,32,,6.0,uniform,2,,pow2,1.0,,0.3,False,False,False,,,,256.0,7,False,True,False,,,,0.0002,,L2,3,RMSprop,last,True,2e-07,False,"[512, 512, 512]","[1, 2, 4]","[False, False, False]",0.3,"[False, True, False]"
49,0.3995353622401508,COMPLETE,2025-10-09 01:19:34.780073,2025-10-09 01:21:32.808454,0 days 00:01:58.028381,gelu,32,9.0,,increasing,2,3.0,linear,,2.0,0.0,False,,,,,,,5,False,,,,,,0.0001,,L2,1,AdamW,last,True,1e-06,False,[896],[3],[False],0.0,[False]
