id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
634,gaitset_GREW.csv,0.50557,0.57542,0.06985,0.653 / 0.364 / 0.500,0.698 / 0.400 / 0.629,0.045 / 0.036 / 0.129
635,gaitset_OUMVLP.csv,0.48034,0.43016,-0.05018,0.667 / 0.308 / 0.467,0.579 / 0.462 / 0.250,-0.088 / 0.154 / -0.217
636,gln_phase1.csv,0.55114,0.51367,-0.03747,0.595 / 0.471 / 0.588,0.571 / 0.375 / 0.595,-0.023 / -0.096 / 0.006
637,gln_phase2.csv,0.47828,0.49293,0.01465,0.550 / 0.400 / 0.485,0.533 / 0.400 / 0.545,-0.017 / 0.000 / 0.061
651,baseline_CASIAB.csv,0.4299,0.47521,0.04531,0.571 / 0.267 / 0.452,0.513 / 0.400 / 0.513,-0.059 / 0.133 / 0.061
652,baseline_OUMVLP.csv,0.48025,0.52532,0.04507,0.513 / 0.333 / 0.595,0.615 / 0.444 / 0.516,0.103 / 0.111 / -0.078
653,gaitgl.csv,0.42142,0.44762,0.0262,0.432 / 0.182 / 0.650,0.596 / 0.333 / 0.414,0.163 / 0.152 / -0.236
654,gaitgl_GREW.csv,0.44017,0.47632,0.03615,0.654 / 0.222 / 0.444,0.650 / 0.200 / 0.579,-0.004 / -0.022 / 0.135
655,gaitgl_GREW_BNNeck.csv,0.42206,0.43438,0.01232,0.378 / 0.400 / 0.488,0.514 / 0.273 / 0.516,0.136 / -0.127 / 0.028
656,gaitgl_OUMVLP.csv,0.50111,0.47293,-0.02818,0.720 / 0.250 / 0.533,0.653 / 0.286 / 0.480,-0.067 / 0.036 / -0.053
657,gaitpart_GREW.csv,0.51938,0.42337,-0.09601,0.558 / 0.533 / 0.467,0.410 / 0.375 / 0.485,-0.148 / -0.158 / 0.018
658,gaitpart_OUMVLP.csv,0.63473,0.54058,-0.09415,0.649 / 0.533 / 0.722,0.651 / 0.471 / 0.500,0.003 / -0.063 / -0.222
659,gaitset.csv,0.49145,0.46825,-0.0232,0.486 / 0.462 / 0.526,0.571 / 0.500 / 0.333,0.085 / 0.038 / -0.193
660,gaitset_GREW.csv,0.44102,0.4968,0.05578,0.591 / 0.375 / 0.357,0.652 / 0.250 / 0.588,0.061 / -0.125 / 0.231
661,gaitset_OUMVLP.csv,0.54123,0.42222,-0.11901,0.550 / 0.600 / 0.474,0.600 / 0.333 / 0.333,0.050 / -0.267 / -0.140
662,gln_phase1.csv,0.47755,0.44247,-0.03508,0.684 / 0.154 / 0.595,0.591 / 0.222 / 0.514,-0.093 / 0.068 / -0.080
663,gln_phase2.csv,0.53559,0.57198,0.03639,0.591 / 0.444 / 0.571,0.667 / 0.429 / 0.621,0.076 / -0.016 / 0.049
716,baseline_CASIAB.csv,0.48341,0.46639,-0.01702,0.545 / 0.571 / 0.333,0.500 / 0.429 / 0.471,-0.045 / -0.143 / 0.137
717,baseline_OUMVLP.csv,0.52436,0.48914,-0.03522,0.667 / 0.286 / 0.621,0.529 / 0.235 / 0.703,-0.137 / -0.050 / 0.082
718,gaitgl.csv,0.42924,0.50609,0.07685,0.638 / 0.167 / 0.483,0.667 / 0.400 / 0.452,0.028 / 0.233 / -0.031
719,gaitgl_GREW.csv,0.42912,0.48473,0.05561,0.667 / 0.000 / 0.621,0.550 / 0.364 / 0.541,-0.117 / 0.364 / -0.080
720,gaitgl_GREW_BNNeck.csv,0.21538,0.49231,0.27693,0.646 / 0.000 / 0.000,0.615 / 0.400 / 0.462,-0.031 / 0.400 / 0.462
721,gaitgl_OUMVLP.csv,0.21538,0.46781,0.25243,0.646 / 0.000 / 0.000,0.596 / 0.308 / 0.500,-0.050 / 0.308 / 0.500
722,gaitpart_GREW.csv,0.47393,0.48424,0.01031,0.364 / 0.500 / 0.558,0.680 / 0.500 / 0.273,0.316 / 0.000 / -0.285
723,gaitpart_OUMVLP.csv,0.21538,0.61444,0.39906,0.646 / 0.000 / 0.000,0.750 / 0.533 / 0.560,0.104 / 0.533 / 0.560
724,gaitset.csv,0.57234,0.48312,-0.08922,0.541 / 0.588 / 0.588,0.571 / 0.364 / 0.514,0.031 / -0.225 / -0.074
725,gaitset_GREW.csv,0.42368,0.37241,-0.05127,0.421 / 0.400 / 0.450,0.667 / 0.143 / 0.308,0.246 / -0.257 / -0.142
726,gaitset_OUMVLP.csv,0.21538,0.17778,-0.0376,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.533,-0.646 / 0.000 / 0.533
727,gln_phase1.csv,0.5265,0.375,-0.1515,0.564 / 0.400 / 0.615,0.625 / 0.000 / 0.500,0.061 / -0.400 / -0.115
728,gln_phase2.csv,0.60089,0.49196,-0.10893,0.651 / 0.667 / 0.485,0.612 / 0.364 / 0.500,-0.039 / -0.303 / 0.015
