id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
284,gaitset_OUMVLP.csv,0.49167,0.51053,0.01886,0.600 / 0.375 / 0.500,0.632 / 0.300 / 0.600,0.032 / -0.075 / 0.100
285,gln_phase1.csv,0.56999,0.56658,-0.00341,0.595 / 0.500 / 0.615,0.667 / 0.471 / 0.562,0.072 / -0.029 / -0.053
286,gln_phase2.csv,0.51176,0.47355,-0.03821,0.649 / 0.308 / 0.579,0.585 / 0.235 / 0.600,-0.063 / -0.072 / 0.021
287,baseline_CASIAB.csv,0.4594,0.46795,0.00855,0.667 / 0.250 / 0.462,0.654 / 0.250 / 0.500,-0.013 / 0.000 / 0.038
288,baseline_OUMVLP.csv,0.64563,0.58606,-0.05957,0.651 / 0.600 / 0.686,0.667 / 0.444 / 0.647,0.016 / -0.156 / -0.039
289,gaitgl.csv,0.42831,0.36077,-0.06754,0.578 / 0.250 / 0.457,0.439 / 0.222 / 0.421,-0.139 / -0.028 / -0.036
290,gaitgl_GREW.csv,0.37999,0.39109,0.0111,0.412 / 0.267 / 0.462,0.524 / 0.133 / 0.516,0.112 / -0.133 / 0.055
291,gaitgl_GREW_BNNeck.csv,0.43849,0.44583,0.00734,0.625 / 0.333 / 0.357,0.654 / 0.364 / 0.320,0.029 / 0.030 / -0.037
292,gaitgl_OUMVLP.csv,0.54868,0.55789,0.00921,0.622 / 0.667 / 0.357,0.667 / 0.462 / 0.545,0.044 / -0.205 / 0.188
293,gaitpart_GREW.csv,0.55258,0.59446,0.04188,0.667 / 0.429 / 0.562,0.698 / 0.400 / 0.686,0.031 / -0.029 / 0.123
294,gaitpart_OUMVLP.csv,0.62222,0.56119,-0.06103,0.700 / 0.500 / 0.667,0.744 / 0.333 / 0.606,0.044 / -0.167 / -0.061
295,gaitset.csv,0.49014,0.53695,0.04681,0.585 / 0.333 / 0.552,0.622 / 0.364 / 0.625,0.037 / 0.030 / 0.073
296,gaitset_GREW.csv,0.53822,0.52885,-0.00937,0.652 / 0.400 / 0.562,0.698 / 0.222 / 0.667,0.045 / -0.178 / 0.104
297,gaitset_OUMVLP.csv,0.54,0.47248,-0.06752,0.667 / 0.471 / 0.483,0.629 / 0.273 / 0.516,-0.038 / -0.198 / 0.033
298,gln_phase1.csv,0.62408,0.61457,-0.00951,0.634 / 0.667 / 0.571,0.667 / 0.545 / 0.632,0.033 / -0.121 / 0.060
299,gln_phase2.csv,0.53856,0.44233,-0.09623,0.667 / 0.364 / 0.585,0.571 / 0.200 / 0.556,-0.095 / -0.164 / -0.030
300,baseline_CASIAB.csv,0.46334,0.52778,0.06444,0.612 / 0.333 / 0.444,0.583 / 0.500 / 0.500,-0.029 / 0.167 / 0.056
301,baseline_OUMVLP.csv,0.59036,0.64563,0.05527,0.585 / 0.500 / 0.686,0.651 / 0.600 / 0.686,0.066 / 0.100 / 0.000
302,gaitgl.csv,0.53862,0.53625,-0.00237,0.571 / 0.600 / 0.444,0.579 / 0.444 / 0.585,0.008 / -0.156 / 0.141
303,gaitgl_GREW.csv,0.38199,0.37064,-0.01135,0.627 / 0.000 / 0.519,0.432 / 0.167 / 0.513,-0.195 / 0.167 / -0.006
304,gaitgl_GREW_BNNeck.csv,0.53755,0.5415,0.00395,0.691 / 0.400 / 0.522,0.653 / 0.571 / 0.400,-0.038 / 0.171 / -0.122
305,gaitgl_OUMVLP.csv,0.59544,0.5576,-0.03784,0.615 / 0.615 / 0.556,0.619 / 0.667 / 0.387,0.004 / 0.051 / -0.168
306,gaitpart_GREW.csv,0.50496,0.57019,0.06523,0.720 / 0.333 / 0.462,0.776 / 0.364 / 0.571,0.056 / 0.030 / 0.110
307,gaitpart_OUMVLP.csv,0.54672,0.55751,0.01079,0.682 / 0.333 / 0.625,0.615 / 0.429 / 0.629,-0.066 / 0.095 / 0.004
308,gaitset.csv,0.40048,0.54259,0.14211,0.591 / 0.211 / 0.400,0.650 / 0.444 / 0.533,0.059 / 0.234 / 0.133
309,gaitset_GREW.csv,0.50963,0.51195,0.00232,0.682 / 0.200 / 0.647,0.615 / 0.375 / 0.545,-0.066 / 0.175 / -0.102
310,gaitset_OUMVLP.csv,0.50798,0.54793,0.03995,0.650 / 0.286 / 0.588,0.611 / 0.444 / 0.588,-0.039 / 0.159 / 0.000
311,gln_phase1.csv,0.62719,0.60388,-0.02331,0.711 / 0.545 / 0.625,0.634 / 0.571 / 0.606,-0.077 / 0.026 / -0.019
312,gln_phase2.csv,0.6058,0.46649,-0.13931,0.667 / 0.588 / 0.562,0.585 / 0.250 / 0.564,-0.081 / -0.338 / 0.002
313,baseline_CASIAB.csv,0.52546,0.56756,0.0421,0.596 / 0.400 / 0.581,0.652 / 0.444 / 0.606,0.056 / 0.044 / 0.025
314,baseline_OUMVLP.csv,0.60052,0.64444,0.04392,0.634 / 0.462 / 0.706,0.600 / 0.667 / 0.667,-0.034 / 0.205 / -0.039
315,gaitgl.csv,0.53493,0.49483,-0.0401,0.653 / 0.400 / 0.552,0.651 / 0.222 / 0.611,-0.002 / -0.178 / 0.059
316,gaitgl_GREW.csv,0.42414,0.45455,0.03041,0.558 / 0.200 / 0.514,0.636 / 0.182 / 0.545,0.078 / -0.018 / 0.031
