id,timestamp,target_embedding,source_params,model,seed,input_dim,hidden_layers,pca_frac,norm_layers,dropout_layers,dropout_rate,pooling,norm,batch_size,num_layers,base_dim,activation,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,epochs_trained,best_epoch,train_loss_best_state,test_loss_best_state,training
32,20251127_185435,gaitgl_OUMVLP.csv,gaitgl.csv,MLP,42,96,"[512, 256]",0.9,[],[],,mean,L2,64,2,512,silu,RMSprop,,0.001,1e-07,True,0.074,8.35889,0.43182,0.40147,"[0.45714, 0.28571, 0.46154]",0.54545,0.55904,"[0.53659, 0.6, 0.54054]",1048,599,0.454,1.79378,COMPLETED
33,20251127_185435,gaitpart_GREW.csv,gaitgl.csv,MLP,42,109,"[512, 256]",0.9,[],[],,mean,L2,64,2,512,silu,RMSprop,,0.001,1e-07,True,0.08602,3.98632,0.43182,0.38443,"[0.55814, 0.21053, 0.38462]",0.59091,0.52145,"[0.69767, 0.26667, 0.6]",326,163,0.54757,1.3296,COMPLETED
34,20251127_185435,gaitpart_OUMVLP.csv,gaitgl.csv,MLP,42,98,"[512, 256]",0.9,[],[],,mean,L2,64,2,512,silu,RMSprop,,0.001,1e-07,True,0.08061,4.47592,0.56818,0.47667,"[0.65116, 0.15385, 0.625]",0.63636,0.5278,"[0.69767, 0.2, 0.68571]",719,652,0.20368,2.74886,COMPLETED
35,20251127_185435,gaitset.csv,gaitgl.csv,MLP,42,72,"[512, 256]",0.9,[],[],,mean,L2,64,2,512,silu,RMSprop,,0.001,1e-07,True,0.07876,6.73325,0.36364,0.3402,"[0.40909, 0.26667, 0.34483]",0.36364,0.3402,"[0.40909, 0.26667, 0.34483]",371,371,0.07876,6.73325,COMPLETED
36,20251127_185435,gaitset_GREW.csv,gaitgl.csv,MLP,42,114,"[512, 256]",0.9,[],[],,mean,L2,64,2,512,silu,RMSprop,,0.001,1e-07,True,0.08406,7.61869,0.45455,0.38434,"[0.63636, 0.1, 0.41667]",0.59091,0.48447,"[0.73913, 0.14286, 0.57143]",371,113,0.66646,1.40668,COMPLETED
37,20251127_185435,gaitset_OUMVLP.csv,gaitgl.csv,MLP,42,94,"[512, 256]",0.9,[],[],,mean,L2,64,2,512,silu,RMSprop,,0.001,1e-07,True,0.07061,5.96861,0.45455,0.33493,"[0.55319, 0.0, 0.45161]",0.54545,0.5403,"[0.57143, 0.53333, 0.51613]",547,469,0.24876,3.02877,COMPLETED
38,20251127_185435,gln_phase1.csv,gaitgl.csv,MLP,42,89,"[512, 256]",0.9,[],[],,mean,L2,64,2,512,silu,RMSprop,,0.001,1e-07,True,0.08493,4.32138,0.43182,0.33403,"[0.4878, 0.0, 0.51429]",0.52273,0.47953,"[0.57895, 0.33333, 0.52632]",311,37,0.65361,1.23754,COMPLETED
39,20251127_185435,gln_phase2.csv,gaitgl.csv,MLP,42,96,"[512, 256]",0.9,[],[],,mean,L2,64,2,512,silu,RMSprop,,0.001,1e-07,True,0.07304,7.24152,0.31818,0.28219,"[0.43243, 0.11111, 0.30303]",0.52273,0.453,"[0.68085, 0.33333, 0.34483]",314,62,0.65167,1.49702,COMPLETED

40,20251127_185755,baseline_CASIAB.csv,gaitgl_GREW.csv,MLP,42,256,[768],,[],[],,max,L2,16,1,768,elu,Adam,,0.0002,1e-07,False,0.07254,3.78899,0.43182,0.3549,"[0.55319, 0.16667, 0.34483]",0.56818,0.46674,"[0.66667, 0.18182, 0.55172]",1635,251,0.67606,1.03636,COMPLETED
41,20251127_185755,baseline_OUMVLP.csv,gaitgl_GREW.csv,MLP,42,256,[768],,[],[],,max,L2,16,1,768,elu,Adam,,0.0002,1e-07,False,0.0996,4.65762,0.36364,0.32098,"[0.42105, 0.11765, 0.42424]",0.43182,0.37368,"[0.42105, 0.2, 0.5]",2489,308,0.68203,1.25147,COMPLETED
42,20251127_185755,gaitgl.csv,gaitgl_GREW.csv,MLP,42,128,[768],,[],[],,max,L2,16,1,768,elu,Adam,,0.0002,1e-07,False,0.68326,1.33596,0.54545,0.52544,"[0.58537, 0.46154, 0.52941]",0.61364,0.58244,"[0.66667, 0.5, 0.58065]",1036,965,0.65152,1.30999,STOPPED
43,20251127_185755,gaitgl_GREW.csv,gaitgl_GREW.csv,MLP,42,256,[768],,[],[],,max,L2,16,1,768,elu,Adam,,0.0002,1e-07,False,0.0925,4.55449,0.38636,0.33603,"[0.44444, 0.2, 0.36364]",0.43182,0.37797,"[0.45455, 0.22222, 0.45714]",966,412,0.34676,2.08072,COMPLETED
44,20251127_185755,gaitgl_GREW_BNNeck.csv,gaitgl_GREW.csv,MLP,42,256,[768],,[],[],,max,L2,16,1,768,elu,Adam,,0.0002,1e-07,False,0.09832,3.04593,0.52273,0.45519,"[0.68182, 0.22222, 0.46154]",0.59091,0.52709,"[0.68421, 0.25, 0.64706]",894,711,0.19219,2.40507,COMPLETED
45,20251127_185755,gaitgl_OUMVLP.csv,gaitgl_GREW.csv,MLP,42,256,[768],,[],[],,max,L2,16,1,768,elu,Adam,,0.0002,1e-07,False,0.08914,3.74901,0.5,0.42285,"[0.61538, 0.16667, 0.48649]",0.56818,0.53846,"[0.61538, 0.42857, 0.57143]",3554,865,0.56906,1.28758,COMPLETED
