id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,hidden_layers,norm_layers,dropout_layers,dropout_rate,activation,base_dim,batch_size,num_layers,pooling,norm,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
49,20260111_181512,gaitset_LOW70.csv,70%,Preset_66,MLP,42,37,"[1024, 768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,1024,64,4,mean,minmax,Adam,,0.0002,1e-07,True,0.8,0.11512,1.90987,0.47727,0.4647,"[0.54545, 0.46154, 0.3871]",186,0.11999,1.85336,0.54545,0.49046,"[0.625, 0.36364, 0.48276]",159,COMPLETED,9.242
50,20260111_181512,gaitset_OUMVLP_LOW70.csv,70%,Preset_66,MLP,42,54,"[1024, 768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,1024,64,4,mean,minmax,Adam,,0.0002,1e-07,True,0.8,0.11314,1.5128,0.52273,0.40837,"[0.61905, 0.0, 0.60606]",138,0.12474,1.42783,0.61364,0.53821,"[0.72727, 0.26667, 0.62069]",101,COMPLETED,6.745
51,20260111_181512,gln_phase1_LOW70.csv,70%,Preset_66,MLP,42,56,"[1024, 768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,1024,64,4,mean,minmax,Adam,,0.0002,1e-07,True,0.8,0.11386,2.27317,0.56818,0.46993,"[0.69767, 0.16667, 0.54545]",147,0.23001,2.52146,0.54545,0.49327,"[0.63158, 0.30769, 0.54054]",40,COMPLETED,7.173
52,20260111_181512,gln_phase2_LOW70.csv,70%,Preset_66,MLP,42,58,"[1024, 768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,1024,64,4,mean,minmax,Adam,,0.0002,1e-07,True,0.8,0.11395,1.97632,0.5,0.41902,"[0.60465, 0.18182, 0.47059]",141,0.12389,2.11902,0.61364,0.50054,"[0.73913, 0.2, 0.5625]",104,COMPLETED,6.847

53,20260111_181512,baseline_CASIAB_LOW70.csv,70%,Preset_19,MLP,42,31,"[640, 448, 256]",[2],"[1, 2]",0.35,gelu,640,96,3,mean,minmax,Adam,,0.00015,1e-06,True,0.7,0.125,1.98631,0.40909,0.37848,"[0.47368, 0.25, 0.41176]",661,0.25217,1.93298,0.45455,0.44815,"[0.44444, 0.4, 0.5]",126,STOPPED,21.573
54,20260111_181512,baseline_OUMVLP_LOW70.csv,70%,Preset_19,MLP,42,29,"[640, 448, 256]",[2],"[1, 2]",0.35,gelu,640,96,3,mean,minmax,Adam,,0.00015,1e-06,True,0.7,0.11647,1.7109,0.43182,0.32051,"[0.5, 0.0, 0.46154]",841,0.12174,1.69762,0.56818,0.48358,"[0.61538, 0.25, 0.58537]",774,COMPLETED,27.358
55,20260111_181512,gaitgl_GREW_BNNeck_LOW70.csv,70%,Preset_19,MLP,42,38,"[640, 448, 256]",[2],"[1, 2]",0.35,gelu,640,96,3,mean,minmax,Adam,,0.00015,1e-06,True,0.7,0.11665,1.65975,0.52273,0.42997,"[0.6383, 0.2, 0.45161]",706,0.14623,1.6032,0.59091,0.51037,"[0.7234, 0.30769, 0.5]",301,COMPLETED,25.86
56,20260111_181512,gaitgl_GREW_LOW70.csv,70%,Preset_19,MLP,42,48,"[640, 448, 256]",[2],"[1, 2]",0.35,gelu,640,96,3,mean,minmax,Adam,,0.00015,1e-06,True,0.7,0.11825,1.79619,0.47727,0.35748,"[0.55814, 0.0, 0.51429]",562,0.53658,1.47459,0.5,0.3925,"[0.57143, 0.0, 0.60606]",46,COMPLETED,21.198
57,20260111_181512,gaitgl_LOW70.csv,70%,Preset_19,MLP,42,22,"[640, 448, 256]",[2],"[1, 2]",0.35,gelu,640,96,3,mean,minmax,Adam,,0.00015,1e-06,True,0.7,0.12292,2.24032,0.34091,0.2986,"[0.4, 0.14286, 0.35294]",1111,0.70653,1.24864,0.43182,0.43386,"[0.45714, 0.44444, 0.4]",72,STOPPED,38.346
