id,timestamp,target_embedding,source_params,model,seed,pooling,norm,batch_size,n_layers,base_dim,activation,dropout_rate,learning_rate,weight_decay,use_pca,pca_frac,norm_layer,do_layer,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss
83,20250824_200145,gln_phase1.csv,gaitgl_OUMVLP.csv,MLP,42,mean,minmax,16,2,512,tanh,0.4,0.0001,1e-06,False,,2,1,0.00425,0.5,455,0.4206,0.51462,186,0.12379
84,20250824_200145,gln_phase2.csv,gaitgl_OUMVLP.csv,MLP,42,mean,minmax,16,2,512,tanh,0.4,0.0001,1e-06,False,,2,1,0.00375,0.45455,518,0.38782,0.51515,148,0.14959

85,20250824_200717,baseline_CASIAB.csv,gaitpart.csv,MLP,42,max,minmax,16,3,128,gelu,0.4,0.0001,0.0,True,0.85,2,3,0.00441,0.56818,266,0.41333,0.47267,198,0.01024
86,20250824_200717,baseline_OUMVLP.csv,gaitpart.csv,MLP,42,max,minmax,16,3,128,gelu,0.4,0.0001,0.0,True,0.85,2,3,0.00263,0.45455,246,0.38364,0.42311,74,0.19289
87,20250824_200717,gaitgl.csv,gaitpart.csv,MLP,42,max,minmax,16,3,128,gelu,0.4,0.0001,0.0,True,0.85,2,3,0.00488,0.56818,277,0.52936,0.59855,98,0.11517
88,20250824_200717,gaitgl_GREW.csv,gaitpart.csv,MLP,42,max,minmax,16,3,128,gelu,0.4,0.0001,0.0,True,0.85,2,3,0.00448,0.34091,212,0.22502,0.3219,200,0.00586
89,20250824_200717,gaitgl_GREW_BNNeck.csv,gaitpart.csv,MLP,42,max,minmax,16,3,128,gelu,0.4,0.0001,0.0,True,0.85,2,3,0.00325,0.45455,217,0.37879,0.46731,145,0.01438
90,20250824_200717,gaitgl_OUMVLP.csv,gaitpart.csv,MLP,42,max,minmax,16,3,128,gelu,0.4,0.0001,0.0,True,0.85,2,3,0.00339,0.36364,285,0.3125,0.41278,275,0.00472
91,20250824_200717,gaitpart.csv,gaitpart.csv,MLP,42,max,minmax,16,3,128,gelu,0.4,0.0001,0.0,True,0.85,2,3,0.00332,0.66667,904,0.45238,0.45238,203,0.19622
