id,timestamp,target_embedding,source_params,model,seed,input_dim,hidden_layers,pooling,norm,batch_size,num_layers,base_dim,activation,dropout_rate,optimizer,learning_rate,weight_decay,use_pca,pca_frac,norm_layer,do_layer,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training
67,20250826_194121,baseline_OUMVLP.csv,gaitgl_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,tanh,0.4,Adam,0.0001,1e-06,False,,[2],[1],0.00455,0.5,500,0.47197,0.52766,183,0.15751,COMPLETED
68,20250826_194121,gaitgl.csv,gaitgl_OUMVLP.csv,MLP,42,128,"[512, 256]",mean,minmax,16,2,512,tanh,0.4,Adam,0.0001,1e-06,False,,[2],[1],0.00377,0.47727,511,0.40346,0.45088,412,0.02587,COMPLETED
69,20250826_194121,gaitgl_GREW.csv,gaitgl_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,tanh,0.4,Adam,0.0001,1e-06,False,,[2],[1],0.00384,0.45455,495,0.34534,0.42222,273,0.04486,COMPLETED
70,20250826_194121,gaitgl_GREW_BNNeck.csv,gaitgl_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,tanh,0.4,Adam,0.0001,1e-06,False,,[2],[1],0.00451,0.34091,488,0.25604,0.31685,349,0.04876,COMPLETED
71,20250826_194121,gaitgl_OUMVLP.csv,gaitgl_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,tanh,0.4,Adam,0.0001,1e-06,False,,[2],[1],0.00428,0.5,534,0.45483,0.50557,216,0.16601,COMPLETED
72,20250826_194121,gaitpart_GREW.csv,gaitgl_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,tanh,0.4,Adam,0.0001,1e-06,False,,[2],[1],0.00349,0.47727,466,0.40014,0.43545,221,0.07932,COMPLETED
73,20250826_194121,gaitpart_OUMVLP.csv,gaitgl_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,tanh,0.4,Adam,0.0001,1e-06,False,,[2],[1],0.00303,0.47727,456,0.37959,0.44622,402,0.01901,COMPLETED
74,20250826_194121,gaitset.csv,gaitgl_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,tanh,0.4,Adam,0.0001,1e-06,False,,[2],[1],0.00464,0.45455,522,0.45046,0.48748,199,0.15178,COMPLETED
75,20250826_194121,gaitset_GREW.csv,gaitgl_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,tanh,0.4,Adam,0.0001,1e-06,False,,[2],[1],0.00382,0.56818,504,0.42335,0.48456,307,0.08498,COMPLETED
76,20250826_194121,gaitset_OUMVLP.csv,gaitgl_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,tanh,0.4,Adam,0.0001,1e-06,False,,[2],[1],0.00492,0.43182,472,0.324,0.43825,240,0.08439,COMPLETED
77,20250826_194121,gln_phase1.csv,gaitgl_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,tanh,0.4,Adam,0.0001,1e-06,False,,[2],[1],0.00404,0.47727,478,0.40575,0.50152,298,0.04093,COMPLETED
78,20250826_194121,gln_phase2.csv,gaitgl_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,tanh,0.4,Adam,0.0001,1e-06,False,,[2],[1],0.00431,0.52273,454,0.43838,0.51884,424,0.00662,COMPLETED

