id,timestamp,target_embedding,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,native_mode,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
44,20251222_225259,OUMVLP_mean.csv,Preset_11,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,True,96,Adam,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12697,2.47634,0.34091,0.3127,"[0.34286, 0.09524, 0.5]",451,0.67067,1.34381,0.56818,0.40688,"[0.64, 0.0, 0.58065]",298,COMPLETED,26.011

45,20251222_225259,GREW_concat.csv,Preset_12,LSTM,42,768,3,"[768, 512, 256]",False,nan,0.3,[1],"[1, 2]",attention,256,elu,True,False,64,AdamW,,1e-05,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12963,1.87181,0.5,0.43894,"[0.63636, 0.26667, 0.41379]",155,0.18966,1.57852,0.56818,0.51804,"[0.61905, 0.36364, 0.57143]",127,COMPLETED,30.014
46,20251222_225259,GREW_mean.csv,Preset_12,LSTM,42,256,3,"[768, 512, 256]",False,nan,0.3,[1],"[1, 2]",attention,256,elu,True,False,64,AdamW,,1e-05,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14623,1.92555,0.54545,0.51709,"[0.66667, 0.5, 0.38462]",220,0.22021,1.5113,0.63636,0.62283,"[0.64706, 0.57143, 0.65]",177,COMPLETED,38.502
47,20251222_225259,OUMVLP_concat.csv,Preset_12,LSTM,42,1024,3,"[768, 512, 256]",False,nan,0.3,[1],"[1, 2]",attention,256,elu,True,False,64,AdamW,,1e-05,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12744,1.98074,0.52273,0.46334,"[0.61224, 0.33333, 0.44444]",336,0.22137,1.52252,0.56818,0.56116,"[0.59459, 0.53333, 0.55556]",251,COMPLETED,67.652
48,20251222_225259,OUMVLP_mean.csv,Preset_12,LSTM,42,256,3,"[768, 512, 256]",False,nan,0.3,[1],"[1, 2]",attention,256,elu,True,False,64,AdamW,,1e-05,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13325,2.12398,0.52273,0.48047,"[0.57778, 0.36364, 0.5]",824,0.19142,2.2186,0.56818,0.56143,"[0.52941, 0.52632, 0.62857]",660,COMPLETED,143.356

49,20251222_225259,GREW_concat.csv,Preset_13,LSTM,42,768,2,"[1024, 1536]",False,L2,0.3,[1],[1],last,512,gelu,True,False,32,AdamW,,0.0001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10902,2.10269,0.52273,0.50754,"[0.58537, 0.47059, 0.46667]",52,0.19546,2.08897,0.52273,0.51251,"[0.59574, 0.57143, 0.37037]",37,COMPLETED,21.75
50,20251222_225259,GREW_mean.csv,Preset_13,LSTM,42,256,2,"[1024, 1536]",False,L2,0.3,[1],[1],last,512,gelu,True,False,32,AdamW,,0.0001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12061,2.1169,0.38636,0.33915,"[0.42857, 0.2, 0.38889]",51,0.11638,2.2589,0.47727,0.47544,"[0.52632, 0.5, 0.4]",48,COMPLETED,19.883
51,20251222_225259,OUMVLP_concat.csv,Preset_13,LSTM,42,1024,2,"[1024, 1536]",False,L2,0.3,[1],[1],last,512,gelu,True,False,32,AdamW,,0.0001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13831,1.87093,0.47727,0.43707,"[0.52632, 0.09524, 0.68966]",152,0.10991,1.46199,0.61364,0.52145,"[0.69767, 0.13333, 0.73333]",150,COMPLETED,65.888
52,20251222_225259,OUMVLP_mean.csv,Preset_13,LSTM,42,256,2,"[1024, 1536]",False,L2,0.3,[1],[1],last,512,gelu,True,False,32,AdamW,,0.0001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1045,2.32147,0.45455,0.39079,"[0.44444, 0.13333, 0.59459]",190,0.18533,1.98516,0.52273,0.44207,"[0.51282, 0.18182, 0.63158]",146,COMPLETED,73.464

53,20251222_225259,GREW_concat.csv,Preset_14,LSTM,42,768,1,[256],True,L2,0.0,[],[],mean,,nan,False,True,64,AdamW,,0.0005,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13343,1.72602,0.5,0.41404,"[0.6087, 0.18182, 0.45161]",129,0.1332,1.49248,0.63636,0.58632,"[0.68293, 0.44444, 0.63158]",117,COMPLETED,13.257
54,20251222_225259,GREW_mean.csv,Preset_14,LSTM,42,256,1,[256],True,L2,0.0,[],[],mean,,nan,False,True,64,AdamW,,0.0005,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12207,1.77347,0.5,0.42465,"[0.53659, 0.18182, 0.55556]",127,0.14483,1.81326,0.59091,0.56125,"[0.55556, 0.46154, 0.66667]",120,COMPLETED,11.043
55,20251222_225259,OUMVLP_concat.csv,Preset_14,LSTM,42,1024,1,[256],True,L2,0.0,[],[],mean,,nan,False,True,64,AdamW,,0.0005,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13167,2.39148,0.43182,0.32701,"[0.44444, 0.0, 0.53659]",329,0.14538,1.99126,0.59091,0.43528,"[0.68085, 0.0, 0.625]",271,COMPLETED,36.417
56,20251222_225259,OUMVLP_mean.csv,Preset_14,LSTM,42,256,1,[256],True,L2,0.0,[],[],mean,,nan,False,True,64,AdamW,,0.0005,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13785,2.02977,0.47727,0.43012,"[0.58537, 0.22222, 0.48276]",483,0.18916,1.67777,0.56818,0.51092,"[0.6, 0.28571, 0.64706]",423,COMPLETED,41.856

57,20251222_225259,GREW_concat.csv,Preset_15,LSTM,42,768,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,False,64,AdamW,,0.001,0.0005,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11559,2.43502,0.38636,0.28768,"[0.42553, 0.0, 0.4375]",85,0.16976,2.12632,0.47727,0.47555,"[0.46512, 0.46154, 0.5]",69,COMPLETED,12.716
58,20251222_225259,GREW_mean.csv,Preset_15,LSTM,42,256,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,False,64,AdamW,,0.001,0.0005,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10164,2.14858,0.5,0.5007,"[0.4878, 0.5, 0.51429]",70,0.2834,1.51161,0.52273,0.50427,"[0.51282, 0.42857, 0.57143]",41,COMPLETED,9.653
59,20251222_225259,OUMVLP_concat.csv,Preset_15,LSTM,42,1024,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,False,64,AdamW,,0.001,0.0005,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1158,2.30727,0.5,0.47493,"[0.57143, 0.27273, 0.58065]",556,0.17676,1.91031,0.56818,0.54537,"[0.61111, 0.4, 0.625]",486,COMPLETED,87.241
60,20251222_225259,OUMVLP_mean.csv,Preset_15,LSTM,42,256,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,False,64,AdamW,,0.001,0.0005,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.1047,1.09353,0.47727,0.21538,"[0.64615, 0.0, 0.0]",156,1.1047,1.09353,0.47727,0.21538,"[0.64615, 0.0, 0.0]",156,STOPPED,21.633

61,20251222_225259,GREW_concat.csv,Preset_16,LSTM,42,768,3,"[768, 640, 512]",False,minmax,0.1,[2],"[1, 2]",max,768,relu,True,False,64,AdamW,,2e-05,1e-07,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13049,1.77979,0.38636,0.31755,"[0.4898, 0.14286, 0.32]",242,0.13858,1.55885,0.47727,0.47271,"[0.47368, 0.44444, 0.5]",239,COMPLETED,47.463
