id,timestamp,target_embedding,source_params,model,seed,input_dim,architecture_pattern,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training
69,20250916_152815,gln_phase1.csv,gaitgl_GREW_BNNeck.csv,LSTM,42,256,decreasing,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",attention,512.0,elu,False,16,Adam,,0.0001,5e-07,0.09039,0.52273,62,0.38194,0.43761,60,0.09642,COMPLETED
70,20250916_152815,gln_phase2.csv,gaitgl_GREW_BNNeck.csv,LSTM,42,256,decreasing,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",attention,512.0,elu,False,16,Adam,,0.0001,5e-07,0.03916,0.45455,84,0.41868,0.45238,81,0.16796,COMPLETED

71,20250916_153853,baseline_CASIAB.csv,gaitgl_OUMVLP.csv,LSTM,42,256,decreasing,1,[384],False,L2,0.4,[],[],attention,512.0,tanh,True,16,RMSprop,,5e-05,1e-07,0.04541,0.56818,269,0.52366,0.52751,233,0.17619,COMPLETED
72,20250916_153853,baseline_OUMVLP.csv,gaitgl_OUMVLP.csv,LSTM,42,256,decreasing,1,[384],False,L2,0.4,[],[],attention,512.0,tanh,True,16,RMSprop,,5e-05,1e-07,0.03983,0.5,400,0.42174,0.51603,315,0.13937,COMPLETED
73,20250916_153853,gaitgl.csv,gaitgl_OUMVLP.csv,LSTM,42,128,decreasing,1,[384],False,L2,0.4,[],[],attention,512.0,tanh,True,16,RMSprop,,5e-05,1e-07,0.08877,0.45455,173,0.3325,0.41144,164,0.16801,COMPLETED
74,20250916_153853,gaitgl_GREW.csv,gaitgl_OUMVLP.csv,LSTM,42,256,decreasing,1,[384],False,L2,0.4,[],[],attention,512.0,tanh,True,16,RMSprop,,5e-05,1e-07,0.09985,0.43182,151,0.35507,0.43485,145,0.13542,COMPLETED
75,20250916_153853,gaitgl_GREW_BNNeck.csv,gaitgl_OUMVLP.csv,LSTM,42,256,decreasing,1,[384],False,L2,0.4,[],[],attention,512.0,tanh,True,16,RMSprop,,5e-05,1e-07,0.08671,0.34091,249,0.28816,0.33838,240,0.14065,COMPLETED
76,20250916_153853,gaitgl_OUMVLP.csv,gaitgl_OUMVLP.csv,LSTM,42,256,decreasing,1,[384],False,L2,0.4,[],[],attention,512.0,tanh,True,16,RMSprop,,5e-05,1e-07,0.07905,0.38636,378,0.23675,0.36419,344,0.14482,COMPLETED
77,20250916_153853,gaitpart.csv,gaitgl_OUMVLP.csv,LSTM,42,128,decreasing,1,[384],False,L2,0.4,[],[],attention,512.0,tanh,True,16,RMSprop,,5e-05,1e-07,0.0765,0.33333,657,0.26667,0.38889,620,0.15868,COMPLETED
