id,timestamp,target_embedding,source_params,model,seed,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,learning_rate,weight_decay,momentum_sgd,native_mode,input_dim,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec
68,20251020_191923,gaitpart_16steps_mean.csv,lstm_results_v2.csv,LSTM,42,2,"[256, 128]",True,L2,0.4,[1],[],max,128,elu,True,32,Adam,0.0007,0.0005,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.69992,3.08579,0.38636,936,0.3871,0.43333,936,0.34179,STOPPED,222.338
69,20251020_191923,gaitset_62steps_mean.csv,lstm_results_v2.csv,LSTM,42,2,"[256, 128]",True,L2,0.4,[1],[],max,128,elu,True,32,Adam,0.0007,0.0005,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.59922,1.90461,0.40909,820,0.34253,0.34253,820,0.59922,STOPPED,310.554
70,20251020_191923,gln_93steps_mean.csv,lstm_results_v2.csv,LSTM,42,2,"[256, 128]",True,L2,0.4,[1],[],max,128,elu,True,32,Adam,0.0007,0.0005,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.18101,1.84308,0.5,149,0.4547,0.55789,149,0.18379,STOPPED,152.963

71,20251020_191923,baseline_31steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[384],False,L2,0.4,[],[],max,512,tanh,True,16,RMSprop,5e-05,1e-07,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14376,1.19419,0.52273,324,0.38391,0.45937,324,0.1452,STOPPED,103.389
72,20251020_191923,gaitgl_64steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[384],False,L2,0.4,[],[],max,512,tanh,True,16,RMSprop,5e-05,1e-07,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14369,1.09951,0.54545,84,0.39355,0.62225,84,0.14574,STOPPED,83.811
73,20251020_191923,gaitpart_16steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[384],False,L2,0.4,[],[],max,512,tanh,True,16,RMSprop,5e-05,1e-07,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14615,1.06252,0.63636,881,0.52593,0.63769,881,0.1447,STOPPED,183.032
74,20251020_191923,gaitset_62steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[384],False,L2,0.4,[],[],max,512,tanh,True,16,RMSprop,5e-05,1e-07,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14358,1.15334,0.52273,477,0.42222,0.52069,477,0.14824,STOPPED,215.741
75,20251020_191923,gln_93steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[384],False,L2,0.4,[],[],max,512,tanh,True,16,RMSprop,5e-05,1e-07,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14605,1.04388,0.47727,36,0.39836,0.49921,36,0.18284,STOPPED,100.724

76,20251020_191923,baseline_31steps_mean.csv,lstm_results_v2.csv,LSTM,42,3,"[128, 128, 128]",True,L2,0.3,[],[],max,,,True,128,AdamW,0.0008,5e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13971,2.12209,0.47727,163,0.35829,0.44815,163,0.25842,STOPPED,45.809
